fileName,variableName,description,unitText
device_position.csv,site,Site of measurement,NA
device_position.csv,device_id,Device ID,NA
device_position.csv,reference,"Reference point, can be either depth (d), height (h) or elevation (e)",NA
device_position.csv,z_relative,Relative distance from reference point,NA
device_variable.csv,device_id,Device ID,NA
device_variable.csv,var_abbr,Variable abbreviation,NA
qc_filters.csv,var_abbr,Variable abbreviation,NA
qc_filters.csv,low,Low value to set values to NA if they are below this value,NA
qc_filters.csv,high,High value to set values to NA if they are above this value,NA
qc_filters.csv,roc,Rate of change to set values to NA which change from the previous value by greater than this value,NA
qc_filters.csv,consec,Set values to NA if there are consecutive values greater than this value,NA
qc_filters.csv,interp,Interpolate values if there is a data gap less than this value,NA
rotorua_qc.csv,datetime,Date and time of measurement,NA
rotorua_qc.csv,site,Site of measurement,NA
rotorua_qc.csv,qc_value_t_wtr_d50,Water temperature at 0.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d100,Water temperature at 1.0m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d250,Water temperature at 2.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d450,Water temperature at 4.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d650,Water temperature at 6.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d850,Water temperature at 8.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1050,Water temperature at 10.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1250,Water temperature at 12.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1450,Water temperature at 14.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1650,Water temperature at 16.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d1850,Water temperature at 18.5m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d2000,Water temperature at 20.0m,degree_Celsius
rotorua_qc.csv,qc_value_t_wtr_d2050,Water temperature at 20.5m,degree_Celsius
rotorua_qc.csv,qc_value_c_do_d100,Dissolved oxygen concentration at 1.0m,mg/l
rotorua_qc.csv,qc_value_c_do_d2000,Dissolved oxygen concentration at 10.0m,mg/l
rotorua_qc.csv,qc_value_c_do_sat_d100,Dissolved oxygen percent saturation at 1.0m,percent
rotorua_qc.csv,qc_value_c_do_sat_d2000,Dissolved oxygen percent saturation at 20.0m,percent
rotorua_qc.csv,qc_value_h_rh_h150,Relative humidity at 1.5m,percent
rotorua_qc.csv,qc_value_pp_rain_h150,Rainfall at 1.5m,mm
rotorua_qc.csv,qc_value_pr_baro_h150,Barometric pressure at 1.5m,hPa
rotorua_qc.csv,qc_value_t_air_h150,Air temperature at 1.5m,degree_Celsius
rotorua_qc.csv,qc_value_w_dir_h150,Wind direction at 1.5m,degree
rotorua_qc.csv,qc_value_w_spd_h150,Wind speed at 1.5m,m/s
rotorua_qc.csv,qc_value_c_ph_d100,pH at 1.0m,-
rotorua_qc.csv,qc_value_f_chl_d100,Chlorophyll fluorescence at 1.0m,RFU
rotorua_qc.csv,qc_value_f_phyc_d100,Phyocyanin fluorescence at 1.0m,RFU
rotorua_qc.csv,qc_code_t_wtr_d100,Quality control code for water temperature at 0.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1050,Quality control code for water temperature at 1.0m,NA
rotorua_qc.csv,qc_code_t_wtr_d1250,Quality control code for water temperature at 2.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1450,Quality control code for water temperature at 4.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1650,Quality control code for water temperature at 6.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d1850,Quality control code for water temperature at 8.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d2000,Quality control code for water temperature at 10.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d2050,Quality control code for water temperature at 12.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d250,Quality control code for water temperature at 14.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d450,Quality control code for water temperature at 16.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d50,Quality control code for water temperature at 18.5m,NA
rotorua_qc.csv,qc_code_t_wtr_d650,Quality control code for water temperature at 20.0m,NA
rotorua_qc.csv,qc_code_t_wtr_d850,Quality control code for water temperature at 20.5m,NA
rotorua_qc.csv,qc_code_c_do_d100,Quality control code for dissolved oxygen concentration at 1.0m,NA
rotorua_qc.csv,qc_code_c_do_d2000,Quality control code for dissolved oxygen concentration at 10.0m,NA
rotorua_qc.csv,qc_code_c_do_sat_d100,Quality control code for dissolved oxygen percent saturation at 1.0m,NA
rotorua_qc.csv,qc_code_c_do_sat_d2000,Quality control code for dissolved oxygen percent saturation at 20.0m,NA
rotorua_qc.csv,qc_code_h_rh_h150,Quality control code for relative humidity at 1.5m,NA
rotorua_qc.csv,qc_code_pp_rain_h150,Quality control code for rainfall at 1.5m,NA
rotorua_qc.csv,qc_code_pr_baro_h150,Quality control code for barometric pressure at 1.5m,NA
rotorua_qc.csv,qc_code_t_air_h150,Quality control code for air temperature at 1.5m,NA
rotorua_qc.csv,qc_code_w_dir_h150,Quality control code for wind direction at 1.5m,NA
rotorua_qc.csv,qc_code_w_spd_h150,Quality control code for wind speed at 1.5m,NA
rotorua_qc.csv,qc_code_c_ph_d100,Quality control code for ph at 1.0m,NA
rotorua_qc.csv,qc_code_f_chl_d100,Quality control code for chlorophyll fluorescence at 1.0m,NA
rotorua_qc.csv,qc_code_f_phyc_d100,Quality control code for phyocyanin fluorescence at 1.0m,NA
rotorua_qc.csv,qc_flag_t_wtr_d100,Quality control flag for water temperature at 0.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d1050,Quality control flag for water temperature at 1.0m,NA
rotorua_qc.csv,qc_flag_t_wtr_d1250,Quality control flag for water temperature at 2.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d1450,Quality control flag for water temperature at 4.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d1650,Quality control flag for water temperature at 6.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d1850,Quality control flag for water temperature at 8.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d2000,Quality control flag for water temperature at 10.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d2050,Quality control flag for water temperature at 12.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d250,Quality control flag for water temperature at 14.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d450,Quality control flag for water temperature at 16.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d50,Quality control flag for water temperature at 18.5m,NA
rotorua_qc.csv,qc_flag_t_wtr_d650,Quality control flag for water temperature at 20.0m,NA
rotorua_qc.csv,qc_flag_t_wtr_d850,Quality control flag for water temperature at 20.5m,NA
rotorua_qc.csv,qc_flag_c_do_d100,Quality control flag for dissolved oxygen concentration at 1.0m,NA
rotorua_qc.csv,qc_flag_c_do_d2000,Quality control flag for dissolved oxygen concentration at 10.0m,NA
rotorua_qc.csv,qc_flag_c_do_sat_d100,Quality control flag for dissolved oxygen percent saturation at 1.0m,NA
rotorua_qc.csv,qc_flag_c_do_sat_d2000,Quality control flag for dissolved oxygen percent saturation at 20.0m,NA
rotorua_qc.csv,qc_flag_h_rh_h150,Quality control flag for relative humidity at 1.5m,NA
rotorua_qc.csv,qc_flag_pp_rain_h150,Quality control flag for rainfall at 1.5m,NA
rotorua_qc.csv,qc_flag_pr_baro_h150,Quality control flag for barometric pressure at 1.5m,NA
rotorua_qc.csv,qc_flag_t_air_h150,Quality control flag for air temperature at 1.5m,NA
rotorua_qc.csv,qc_flag_w_dir_h150,Quality control flag for wind direction at 1.5m,NA
rotorua_qc.csv,qc_flag_w_spd_h150,Quality control flag for wind speed at 1.5m,NA
rotorua_qc.csv,qc_flag_c_ph_d100,Quality control flag for ph at 1.0m,NA
rotorua_qc.csv,qc_flag_f_chl_d100,Quality control flag for chlorophyll fluorescence at 1.0m,NA
rotorua_qc.csv,qc_flag_f_phyc_d100,Quality control flag for phyocyanin fluorescence at 1.0m,NA
sensor_calibrations.csv,device_id,Device ID,NA
sensor_calibrations.csv,date,Date of calibration,NA
sensor_calibrations.csv,site,Site of measurement,NA
sensor_calibrations.csv,variable,Variable abbreviation,NA
sensor_calibrations.csv,temperature,Temperature at calibration,NA
sensor_calibrations.csv,type,Type of calibration,NA
sensor_calibrations.csv,comment,Comment,NA
sensor_reference.csv,device_id,Device ID,NA
sensor_reference.csv,date,Date of reference measurement,NA
sensor_reference.csv,reference_type,"Type of reference (e.g. buffer, saturated water)",NA
sensor_reference.csv,value_actual,Value of the reference,NA
sensor_reference.csv,units_value,Units of the value,NA
sensor_reference.csv,value_measured,Measured value by the sensor,NA
sensor_reference.csv,units_sensor,Units of the sensor,NA
sensor_reference.csv,temperature,Temperature of the reference type at measurement,NA
sensor_reference.csv,comment,Comment,NA
sensor_scaling.csv,device_id,Device ID,NA
sensor_scaling.csv,date,Date,NA
sensor_scaling.csv,offset,Offset applied to sensor measurement,NA
sensor_scaling.csv,multiplier,Multiplier applied to sensor measurement,NA
sensor_scaling.csv,range,Range of measurements,NA
sensor_scaling.csv,log_multiplier,Multiplier applied at the logger,NA
sensor_scaling.csv,source,Source of information,NA
sensor_scaling.csv,comment,Comment,NA
site_devices.csv,site,Site of measurement,NA
site_devices.csv,device_id,Device ID,NA
site_devices.csv,date_from,Date device is deployed to site,NA
site_devices.csv,date_to,Date device is retrieved from site,NA
site_devices.csv,notes_device,Notes on the device,NA
site_devices.csv,notes,Notes,NA
site_events.csv,site,Site of measurement,NA
site_events.csv,date,Date,NA
site_events.csv,site_visit,"Was the site visited, logical value",NA
site_events.csv,variables,List of variables or can be all,NA
site_events.csv,action,"Type of action at site such as deployed, removed, cleaned",NA
site_events.csv,comments,Comment,NA
sites.csv,site,Site of measurement,NA
sites.csv,location,Location of site,NA
sites.csv,type,Type of monitoring site,NA
sites.csv,customer,Customer,NA
sites.csv,lon,Longitude,degree
sites.csv,lat,Latitude,degree
sites.csv,elev,Elevation,metres
variables.csv,type,Type of variable,NA
variables.csv,abbr,Abbreviation of variable,NA
variables.csv,full_text,Full text variable name,NA
variables.csv,parsed,Variable name to be parsed,NA
variables.csv,label,Label for variable,NA
